Msg,Label1
dubaruma harma guddattu yeroon argu aannan mana isaanitii kireeffamu fakkkaata,1
shamarreen qalloo saandallii fakkkaatti,1
dhiirri shamarranii odeessu bultiif hin,1
dubartoonni garee jirtu hundi daakudhaam,1
durbi furdoo gabaabduun finyaa afuufamaa fakkkaatti,1
durbuma adda guddattu jibbisiisam,1
durbi durbummaa hin qabne xaafii meesa tolee wajjiin wal fakkkatuu,1
dhiirri furdaan qumbursa biyyee keessaa fakkkaata,1
durba durbummaa hin qabnee waxii buqqee rakkkataatu nyaata,1
dhalaa qalloon saandallii fakkkaatti,1
dhiirri furdaa gabaabaa hojii hin danda'u amanaa shamarran,1
ijoolleen durbaa durbummaa hin qabne guyyaa qaama miidhamtootaa yaadadhaatii kabajaa,1
durbi warqeedha morma keetti hidhadhu,10
jaalladhus jibbus dhiirri warqiidha,10
shamarran fufurdoon dhuufuu hin qabatan,1
durboonni qaqalloon tokkko tokkko mutaa ittiin qaraxiixii hodhan fakkkaattim jarana,1
shamarreen booroo hin qabne qaamni hir'uu fakkkaattim,1
durbi bara muudiis mudhiis hin qabdu,1
gaa'elli gaariidha dubartii gabaabduu wajjiin hin ta'in,1
shamarri gabaabduun mooyyee bunaa fakkkaatti,1
durba durbummaa hin qabne harmee jedheen waama hin qabaminaa,1
durboonni durbummaa hin qabne kiraanchiidhan deemaa,1
durbaa farda abbuma jirutu yaaba,1
shamarran barsiisuun addunyaa daraan jijjiira qeequrra barsiisuun furmaata waaraa fida,10
dhiira qalloof asheeta boqqoolloo hundatu kajeela,10
dhiirri bareedu tokkko garee hin jiru jinjibila duwwaa,1
qeensa miilaa gufuu fakkkaatu baannee qeensa durbaa ilaaluu baannee maal fakkkaata dhiironni,1
dubara rifeensi mataa eegee reettii hin geenyetu dhiira qeeqam,1
shamarree dhadhaa mataatti dibattee qilleensa faalaa deemtu jibbisiisam,1
durba harma xinnoo qabdu yeroon argu cufa,1
durba furdoo fuute obsa kennu hojiin harkaa hin dhumu mana dubulbul oolti,1
dhiirri qarshii hin qabne bultiif hin,1
shamarree durbummaa qabdu fuuldurri gaa'ela,10
durba durbummaa hin qabne fuute nama uffata miiccu koontiraata fudhatte jechuudha,1
shamarran bara hedduun ayyaan laallattuudha,1
shamarran wiigii godhatan garaatu jibbaam gaafan argu rifeensa dheeraa qabaatanii hin rakkkatan,1
akkkuma durbummaan durba keessaa bade garbummaan biyya keessaa badee,1
shamarruma surree tokkko uffattutu xibaartim,1
shamarran dhiira kabajuu qabdu warri dhiiras akkkasuma godhaa,10
durbi gabaabduun kuukkkii qabdu tullaa teessu fakkkaatti,1
dhalaa gabbattuu funyaan hin qabne bashoo fakkkaatti,1
durbi dheertuun kuukkkii qabdu kalaadaa booyyee fakkkaatti,1
durbi gabaabduun kuukkkii qabdu bajaajii nama feetee deemtu fakkkaatti,1
shamarran gabaabduun gaafa dhuftu awwaara kaasti,1
durbi oromoo hundi warqiidha,10
shamarran baalee safuu qabu,10
shamarran siikoomandoo hunduu saba jaalatu aadaa guddisu amantii lubbuu caalaa jaalatu,10
shamarree durbummaa hin qabne harreerra kaa'anii galchu,10
durbi durbummaa qabdu qarreedha,10
isheen durbummaa hin qabne harreedha,1
durbi durbummaa waliin dhalatti,10
warri haadha haadha jedhan durbumma hin qabnee hin qabne fuudhaniidha haadhaa maaltu qoosatti fide,1
jaalalleen harreedharee,1
shamarri durbummaa hin qabne holqa soof umar fakkkaatti,1
dubartii guddattu hin fuudhinaa bultiif hin taatu hunduu kajeela,1
dhiirri shamarree umurii 25 olii fuudhe abbaa manaa qofa hin abbaa galataatis,10
durbi durbummaa qabdan gammadaa mootummaan dhiirotaa keessani,10
shamarree fokkkottuu hin fuudhin manatti galuu yaaddessitii,1
shamarree dheertuu hin fuudhin hin dulloomin dulloomtii,1
shamarree bareedduu hin fuudhin manaa ba'uu yaaddessitii,1
shamarree gabaabduu hin fuudhin hunduu ijoollee se'ee biratti qoosaa,1
shamarree gurraattii hin fuudhin gaafa hirriibaa kaatee fuula ilaaltu guyyaan hunduu dukkkana fakkkaataa,1
shamarree diimtuu hin fuudhin rakkkoo hin dandeessuu qarshii mana yaalatti fixxaa,1
shamarree qalloo hin fuudhin nyaata dadhabdaa,1
shamarree furdoo hin fuudhin mana gangalattuu agabuu oolchitii,1
shamarree jarjartuu hin fuudhin nama qaanessitii,1
shamarree suuta jettu hin fuudhin qaqqabattuu mana oolchitii,1
du'een bada dhiira areeda hin qabne hin heerumu,1
dubaruma axxishoodhan rifeensi kufu faatu jeeqam,1
durboonni gommaadhuma bajaajiti bajaajii biraa hafanii hin beekan,1
dhiira biqila hin tuffatan maalif,10
durbi booroo guddattu siinotiraakii fakkkaatti,1
durba urgooftuu gaafan argu kanniisan seyaam,10
qeerron qarreedhaf gaachana,10
dhiirri sabboonummaa qabu kooti,10
durbi oromoo hundi qaaliidha,10
shamarranis dhiirris fuula bareedaa qalbii bareedaa filadhu,10
fuudhuufan deematii intala harmeen qofti dhungatte barbaadaa,10
dhiirri magaalli damma daamuudha xibaaree liqimsi,10
durbi baadiyyaa dacheen oromiyaa hundumaaf qaaliidha nan sobee,10
durbi mataa moluu udduma jaldeessaa fakkkaattim,1
dubartoonni qaqalloon qaaraa fakkkaatu,1
dubartiin takkkalleen sababa hanqina meekaappitiin dhiira fakkkaachuu hin qabdu,10
anis du'een bada durba qeensa hin qabne hin fuudhu liqimsi,1
du'een bada intala durbummaa hin qabne hin fuudhu,10
durbummaa teessee gaafa areeda gaafattu ajaa'ibdaam,1
du'een bada durba shurrubbaa hin qabne hin fuudhu,10
ecci durbi durbummaa hin qabne qixxee konkolaataa fireenii hin qabneeti liqimsi,1
areedi gatii waanuma baase fakkkaata,10
du'een bada dubara harmi jige hin fuudhu,1
dhiira bara maaltu feex feex godhaa akkka shiroo furdaa,1
utuun durba durbummaa qabdu fuudhee nan ari'an,1
durbi diimtuun 22 diilalloofti warreen magaala hin ilaallatu,1
bareedduu oromoo qalloo mudhii sonsaa akkkamiin obsa barbaadi mee qorsa,10
asheeta bareeda hin darban jedhu mitiiree bareedduu oromoo,10
dubarri dabbasaan xiqqoo eegee re'ee fakkkaatti dhugaa,1
durbi durbummaa hin qabneef jawween tokkkumaam,1
warri durbummaa hin qabne akkka deebi'u barbaaddan 853 irratti jedhaa bilisaan ergaa,1
handaaqqoo lukkkuun faranjii dubarri diimtuun bareedinaaf nyaata irratti badaa miti,1
mee bakkkuma jirru dhaabbannee shamarran durbummaa hin qabneef yaadannoo sammuu goonu,1
shamarri kuukkkii qabdu bottee fakkkaatti,1
dhiirri umrii shamarranii gaafatu gowwaadha,1
durbi gabaabduun gaafa shiitii diriyaa uffattu tiraasii boraatii fakkkaatti,1
dubartiin booroo hin qabnee mukni hidda hin qabne tokkkuma qilleensatu raasa,1
dhiirri garaa guddatu hojii hin danda'u,1
dubartiin fuula guddattu staadiyeemii fakkkaattim,1
dubartiin diimtuun hojii hin dandeessu,1
dhiirri fuula xinnaatu ilmoo re'ee fakkkaatti liqimsi,1
durbi gabaabduun gaafa ittoo hojjettu distii dhaabbattee sochoofti,1
dhiirri areeda hin qabne marti dubartii fakkkaata,1
nama salutu dhabamee,1
manni dubartii hin bareedu dubartiin dhiira hin bareeddu,10
baayyeen jaalladha silkii waliif dawwallaa,10
shaarmuxittii shaamaa yookin muuzii bitadhu ajooftuu,1
salphoo intalaa dhiiratu gaafata situ dhiira gaafataa,1
fokkkiftuu wayii,1
jaalladha sabboontuu oromoo,10
yaa bareedduu wanti hir'ate hin jiru,10
nafxanyoota niitiii nafxanyaati,1
hudduu arba fakkkaatta,1
muxxee kennitaa,1
fokkkattuu miila boottii jenna kkk,1
fokkkisaa gadi taa'i,1
baayyee jaaladha,10
lubbuu jaaladha,10
baayyee baayyee fokkkifta,1
bareedda,10
muxxee kenni,1
yaa harrittii maal fakkkaatta,1
baayyee bareedda giiftii ijarraa hafi sabboontuu dirree,10
ilkaan bishaan lagaa fakkkaata baayyee baayyee baayyee tolta,10
bareedduu intala oromoo siifan jira baga jiraattee geesse kaayyoon milkaa'u guddadhu ishoo intala,10
maashaa allaah ijarraa hafi bareeddu,10
bareedduu oromoo,10
intala haadha salan maalif nyaatte haadha teetitti himan,1
intala shanaafattuu addunyaa irratti jibbu keessaa dubartii bareedaa konkolaataa haara'a qofa,1
kenniif abbaa keetii addaggee sanyii wayyaanee dhakaa maqalee taa'ii,1
fokkkottuu dhalaati,1
dhugaa keeti bareedduu intalaa,10
fokkkattuu maaltu ilaala,1
muxxeen hangam bal'atti,1
fokkkattuu wayii,1
shallittii salphoo boosettii guddisa badduu,1
bada sagaagaltuu safuu hin beeyne dhalaa kotte duudaa ilmo nafxanyaa,1
shalleetu ta'a,1
simboon nama simata,10
haanii oromoo maashaa iijarraa haafi takkkittii oromoo,10
salami jaamaa ajuuzaa kkk,1
dubartoota babbareedduu ilmaan oromoo hundi isinin jaaladha jiraadhaa qarree,10
falaxaa ofitti kaa'i,1
sadanuu baayyee fookkkistu wallaa'i,1
bultiif hin taatan biraatif,1
hundi baayyee toltu,10
addaggee footoo hin gadhiiftuu,1
yaa addaggee shamarranii hin balleessin,1
addaggee dhiirri oromoo maal godha,1
lamaanuu salaman hallayyaa bu'i,1
rabbi maraachu,1
muxxee haadha maal shawaa balleessita shawaan safuu beekaa,1
qunxurroo barbaachisee,1
qunxurroo hodhuuf fedhii qabaachuu agarsiisa,1
fagaara haadha addaggee,1
addaggee hirriibni hin qabuu dhuguma,1
maraattuu fakkkaatta,1
salamuu feetaa,1
anatu sala 0935872885,1
ajooftuu wayii bareeddaa nama filachiista,1
durbi qalloon bultiifis butiifis hin taatu liqimsi,1
shamarran qalama qeensaa dibachuu jaalattu lukkkuu faranjii fakkkaatti,1
shamarranuma booroon guddaatu tolaam,10
dubartiin amala gaarii qabdu hundinuu bareedduu,10
dubarri diimtuun albaatii ijoollee tokkkoo fakkkaatti,1
shamarreen moluun akaakayyuu fakkkaatti,1
dubartiin haadha obboleettii haadha manaa maalif qoostuu,10
dubartiin amanamummaa amalaa naamusa qabeettin gaaddisa manaa biyyaati kabajaan isheef mala,10
shamarreen bara yaadni akkkuma harma rarra'aadha,1
qarreen hunduu haadha warraa qeerrooti,10
dubarri harma guddaa sa'a booranaa fakkkaatti,1
durbi bareeddun deemuuf fuudhaf hin taatu,1
shamarran garee keessaa hundishee akkka funyaan adalaa cabboofte qofa,1
durbaa nagaa hin dhabinaa eebba galgalaati,10
durbi diimtuu furdoon siinoo tiraakii fakkkaatti,1
durbi dheertuun poolii ibsaa fakkkaatti,1
dubartiin gabaabduun gaafa abbaa warraa waliin deemtu handaaqqoo sookkkee fakkkaatti,1
durbi dheertuu gurraattin bultiif hin taatu faarfattuu seexanaa fakkkaatti,1
shamarree afaan biraa hin dabalin qubee afaan oromoo guuttee barreessitu jirta dhugaan jedhe fuudha,10
durba furdoo fuudhuun jireenya irratti dachaa eebbifamuudha,10
dhiira areeda hin qabne shamarreedha jenne rakkkoo maal qaba,1
dubarri furdoon teessu xuwwee fakkkaatti,1
durbi furdoon iddoo bashannanaatti hin taatu bakkka sireetti,1
durba durbummaa hin qabne fuudhurra jaartii konkolaataa manaa qabdu fuutee jiraachuu wayya yaa dhiira,1
durba gabaabduun kooti,10
durbi qeensa dhedheeressitu ittoo hojjechuu hin beektu,1
shamarran booroo hin qabne gabaabumatti xaawulaa jenne qir jedhaayii,1
durbi funyaan urattu bultiif hin taatu,1
shamarran dheertuu beektuudha,10
haadha oromtichaa eenyu jedhanii eenyu jettee deebista,10
jaalalaa kabajaa guddaa argachuu feenan dhalaa fokkkottuu fuudhi,10
dubartii qalloo dheertuun sattawwaa fakkkaatti,1
jaalladha bareedduu,10
xirooftuu sanyii badduu,1
baayyee bareedda,10
intaa diqaalaa afaan qabi,1
niitiiin afaan walitti qabatte maal qaba yaa sabaa,1
ajooftuu wayii xirooftee feesbuukii hin xireessin,1
dullattii afaan boollaa,1
isheen akkka keetii maal beekti afuuftuu haadha hudduu miiccadhu,1
hin dogoggorin obboleettii waaqni qajeelchu,10
luka bantee salamtu seetee 666,1
yaaditii dubbadhu intala sammuu furrii gaafii tokkko gaafadha 666 maalidha ibsimee,1
muxxee haadha,1
salamtuu haadha sammuu furrii,1
abaaramtuu fuula daaraa maal jette,1
haadha manaa addaggee afaan uummata qabuu hin dandeettuu,1
shamarran jaalallee jaalladhu jettanii wal gorsitan dhaabaa,10
dubartiin jaalala beektu xibaara hin qabdu haadha jaalalaa jedhamti,10
durbaa lafti dandeessu sababnin jedheef haadhan qaba,10
durba bareedduu hin qabin qabdu gadi hin dhiisin,10
shamarran oromoo qaalii,10
bagan dhiiraf oromoo tahe,10
dhiirri zaqqii hin hidhanne gaagura kanniisa hin qabne fakkkaata,1
dhiira diimaan timaatimii bilchaate fakkkaata,10
kanatti wanti barbaaddee arguu hin dandeenye durbummaa daayinoosarasii qofaadha,1
sirba siingilii mata dureensaa durbi booroo hin qabne bultiif hin taatu jedhu dhiyootti laqqaqu dhiisu laata,1
dubartoonni garee hundi keessanuu araadaa baayyee toltu,10
shamarran babbareedoo waliin durbummaan hin dhalanne,1
shamarran sagalee furdattan obboleesso jedhee yoon waame muufattuuree,1
shamarran durbummaan tasa fedhii jalaa bade abshir homaa miti gaddi gadda wajjiin jirra,1
durbi hin heerumin durbummaa gatte heerumtee daa'ima gatti sumaalotaa,1
kanan jedhu maaltu dhiira bara soba buusee,1
dhiirri bara garee ijaaruu mana ijaaruu hin beeku,1
shamarree qalloo dheertuun nyaata nyaattee hin quuftu jedhe doonaald trump,1
shamarran goota jaalalaati hin qoosinaa meeqa jilbeenfachiisaa oolu bar,10
durbi gaafa qullubbii murtu ija sukkkuummattu gaa'elaaf hin taatu ittuma didii fudhadhu,1
durba furdoo gaafan argu roobii bishaanitti galu fakkkaatti,1
shamarran durbummaa hin qabne mirga himatuuf himatamuus hin qabdu abadan,1
shamarreen jaalallee hin qabne jiraatte dubbisi mee dhimmaafin barbaadetii,10
dhiirri gabaabaa furdaan kuntaala boqqoolloon guutame fakkkaata,1
salami addaggee shallee haadha,1
intala rukkkutamtuu nanna,1
intala afaan qabadhu maal tuni cittoon,1
muxxeen akkkuma afaan teetii baldhatti dhiphisi dandeette,1
waanuma fedherraa hojjatamu qinxirii bubbeetti hin kennin,1
addaggee maal galche amantaa fagaara salchiisuu seetee,1
lntalli furriin,1
mukni galu shallee,1
addaggee niitiii harreedha qomaaxaa,1
shaarmuxittii sanyii yihudaa ijoollee seexanaa intala haadharaawu,1
salamtuu maalummaa beeki shallee beektee amantaa namaa hin jettu sammuun zeeroo,1
maal fakkkaatti bukoon tun afaan dibbuu mee dallattii wallaayyii,1
maatii amansiisi mana keessaa tokkko ta'aa ka'aatii gadi bahuun gadhittii,1
salami sobduu haadha keetii,1
surur yaa jedhu ofiifuu maal fakkkaatti simboo dhabeettii wayii,1
intala abbaa gadaa ispoondaa naffa'aa,1
intalli durbummaa qabdi dhugaa,10
ooganni tun maal fakkkaatti dabbarte sirumaa,1
qinxirii muradhu jalqaba danaazaa,1
maal fakkkaatti tuni raatun,1
dhaggeefachuuf hin qabu fayyitee laala maraattuu sammuu hin qabne,1
fagaara haadha,1
jabaadhu giiftii dhugaan jirtu tanuma,10
dubartii dheertuun gaafa dhaabbattu bareeddi ,10
 dubartii gabaabduun gaafa teessu bareeddi ,10
 dubartii qalloon gaafa hammattu namatti tolti ,10
 dubartii furdoon gaafa qaama sukkkuumtu namatti tolti ,10
dubartiin hunduu bareeddu tolu gammadaa,10
dhiironni dubartoonni gammadaniif biyyi nagaa bashannanaa,10
 dubartii qalloon dubbii jaalatti,10
namni dubartii qalloo fuudhe namni arsenaal deeggaru baayyee dhukkkuba garaachaa hin dhabu,1
 dubartii qalloon gaafa ulfooftu bilbila nokia dhagaan chaarjii multi dhan guutamee dhiita'e fakkkaatti,1
 dubartii qalloo guyyaan sanbataa tokkko jedhama lameenuu qarshii qabaachuu baannan hin dandeessu,1
 qaamni dubartii qalloo hunda ifa baasee akkka salphaatti mul'isa  halluu butaantaa,1
 dubartii qalloon kufte tuqu ija qofa ta'eef jalaa jaamuu dandeessi ijatu keessaa baba'a,1
 abbaan warraa dubartoota qaqalloo mara gaafa taa'an bakkka hirkatan jiru barbaadu rakkkoo dugdaa,1
 tokkkoon tokkkoon dhiirota mataa moluu dubartii qallootu jira jedhe sibhaat igzaaber,1
dubartii furdoon kuntaala fakkkaattim,1
dhiironni miilli xiraa'u kophee duudaa uffachuu dhiisanii filatamaadha guyyaa cidha maaf hin,1
dhiirota paantii qarshii 100 agarsiisuf kofoo qarshii 700 hudduurraa buusan gaafan argu jaldeessa fakkkaatanii waraani waraani godha,10
dubartii furdoo gabaabduu huccuu cuquliisa uffattu yoon argu bajaajii fakkkaattee banadhuu lixi lixi godha,1
dhiironni gaggabaaboon gaafa suufii uffatan xuuxxoo kaalsin kaa'ame fakkkaatu,1
salamtuu ajooftuu najisa ajaa si'i addaggeen dhiira wal ficcisiise harreen hudduudhan seenee afaanin bahu mar'imaan kukkkutee,1
seexanaan bitamteetta isaatti waaqni deeffatu,1
bada fokkkattuu maaltu galche,1
dhukkkubbii boo'icha dhiiratiif wanti sababa ta'uu danda'u dubartoota qofa qorachuuf guyyaa guutuu fudhate,1
intala sooressaa hin fuudhin dhala bilxiginnaa,1
dubarri furdoo gabaabduun kaalsii carqii bututtuu kaa'anii akkka kubbaatti taphatan fakkkaatti,1
1 dubartiin haadha keeti 2 haadha manaa keeti 3 haadhoo keeti iddoo guddaa qabaadhuf kabaji,10
intalli haati jajjuu hin heerumtu,10
dhabuu barbaannan shamarree qalloo fuudhi,1
dhiirri qabbaneessaa keessani warri durbaa,10
dhibu dubartuma hin heerumin umriin ganna 20 darbe akkkam ta'uufi isheen manatti haftee jirti,1
dubartiin haadha gootati eenyu qixxaata,10
dhiiroo shamarri dhugaan jaalannaan haadha caalaa oolmaa oolti kunuunsi,10
durbi qalloo magaalli tolti,10
dubartiin xibaara hin qabdu 'xibabii' ogeettii,10
durbi dhaabbata gaarii hin qabne footoo mudhii qofa post godhu,10
durbaaf gaararraan kanuma jiru fakkkaatti,1
durbuma biddeen 5 tolchuuf jettee furrii jookii 2 gadi naqxutu abbaa bajaajii jedhaam,1
durbi magaalli qalloo dheertuu funyaan konkonaa keessaa koottu barbaadamtaatii ulaagaa guutun dirqama,10
durbi bareeddun hundumtuu jaalallee fakkkaattim,10
dhiirri dhugee machaa'u bultiif hin galee haadha mucaasaa reeba,1
haadha ilaalii intala fuudhi jennaanin haadha ilaaluu deemaa jiraam,10
warri shamarranii keessaa dubbisaa,10
durba haadha haadha manaati obboleettii kabajatu malaaf,10
durbi furdoo miila qallattu qubee fakkkaatti,1
shamara rifeensa hin qabne hin fuudhinaa 'zarii' balleessitii,1
durbi furdoon konkolaataa doolfiinii jedhan fakkkaatti,1
shamarran furdoon roobii bishaan keessaa fakkkaatu,1
shamarran jannata biyya lafaatim,10
durbi furdoon siree hiyyeessati,10
akkka qorannoon ba'e tokkko ibsutti shamarran furdoon durbummaa hin qaban jedha,1
durbi furdoo gabaabduun keessattuu kuukkkii qabdu raacha fakkkaatti,1
shamarran booroo guddaa televezhinii duraanii fakkkaatum,1
dubarri gaafa ayyaanaa uffata aadaa hin godhanne boorkoo,1
dhiirri gabaabaan leezarii gurraacha uffatu distii tagaabiinoo fakkkaata,1
dhiirri fokkkisaa hin qabu,10
shamarran hin heerumin durbumma gatte wayyoo akkkam gootu manatti haftuum,1
dubartoonni mimmiidhagoon baayyeen abbaa nama sodaachisu qaban maaliifii,10
umurii shamarree oromiyaa broodkaastingi neetwoork amanuun ulfaata,1
fuudhuu barbaaddan durba baayyee furdoo taate fuudhaa dhiironni,10
dubartii jaalallee hin kabajne hin fuudhinaa,1
durbuma qeensi miilaa hin jirretu dhiira filaam,1
durba haala mijataa guddatte fuudhuun keeshaa barbaree mataan lixuu,1
durbi daallee ispoondaa guntuta hin qabne hundishee muka soofaa tole fakkkaatti,1
durba qalloo sukkkuumuufis kabaluufis hin taatu nama quuqxi,1
jaaladha durba qalloo durbi qalloon warqii,10
abukaatoo shamarran furdooti,10
abadan dhaltuu umrii 20 olii hin fuunu dhiironni,1
shamarran durbummaa qaban gowwaadha,1
dubarri furdoon sangaa coome fakkkaatti mee koottu qalloo dhungadhaa,1
shamarran furdoo gabaabduun buqqee fakkkaatti,1
dhiira furdaa nan sodaadha,10
dhiirri qal'aan istiikinii fakkkaata,1
qoosaa dhiisatii dubara lukkkuu qaluu hin beekne argitan bakkka argitanitti tumaa caccabsaa,1
durba gurraattii fuudhuun rakkkisaadha halkan barbaadan dhabu,1
cittoo dubarri sukkkuummaa jaalatu,1
dhiirri magaalli dheeran furdina hin qabne nama barbaadutu jira koottu,10
shamarree gabaabduu furdoon barcuma fakkkaatti,1
dhiirri gabaabaa furdaan gufuu karaarraa fakkkaata,1
dhiira gurraacha ijaan argaa nan sodaadha,1
dhiirri furdaan barmeela farsoo xallaa fakkkaata,1
durbi furdoon daabboo difoodha durbi qalloon paastaadha kamtu caalaa mi'aawa,1
dhugaa dubbachuudhaf surree durba fuulduraan bareedam,10
seexanatti aansee durba sodaadhu,1
durbi qalloon surree uffachuu mannaa qullaa deemtee wayya hin tolu,1
shamarran areeda qaban hunduu haadhoo re'ee fakkkaatu,1
shamarran rifeensa qalama diimaa diban maraattuu fakkkaatu,1
cal jedhaa ilaalaamee shamarran babbareeddun hedduun maraatan hedduun dhirsa hafan,1
durba bareedduu fuunan qofa jettee hin abdatin hundumaati,1
jaalallii haasaan durba gabaabduu furdoo biratti hafe,10
shamarri uffata gabaabaa uffattu qoomcee fakkkaatti,1
durba harmi jige fuudhuu jaallatu ijoollee raddaatii taakkkoo kaa'uu beekan qofa,1
durbi qalloon qaama hoo'isuu hin beektu dubbii hoo'isuu,1
hamman durba furdoo fuudhu maalifan doozarii qonnaa hin bitu,1
dhiirri qal'aan homaafuu hin tolu qorra namatti naquu,1
durba qalloo fuudhuu jaallatu suusii lafee qorquu qabaniidha,1
durbaaf kubbaa abbuma argetu dhiita,1
miilli durba qeensa hin qabne mataa bofaa fakkkaatam,1
shamarran garee keessaa xibaara jaalala hin beektum xibaartuu,1
durbi qalloon miizana bunaa fakkkaatti buute raafamti,1
durbi durbummaa hin qabne guyyaa qaama miidhamtootaa kabajuu qabdi,1
durbi qalloon surree uffattu fallaana paastaa fakkkaatti,1
dhalaa furdoo rafuun nama hin gammachiisu maalif gaaffii teessani,1
dubartiin qeensa miilaa bareeddu tolti yaa jarana,10
maal addaggeen wayii,1
jabduu intalaa addi adda leenca gurraachaa diinni hin dhaabbatin,10
jetteeree bareedduu,10
shamarran durbummaa hin qabne qawwee maskoobii fakkkaatti,1
osooman guyyaa tokkko dhiira ta'ee fuudhee haadha manaa kootif galgala galgala miila dhiqeefin raffisa,10
dubartii kilaashii bukkkee jirutu dhukaasa,1
durbi qalloon kuruphiisa ambaxxaa fakkkaatti,1
shamarran rifeensi luuccaa hantuuta bishaanitti buute fakkkaatu,1
qarreen oromoo qeerroo oromoo maal qabdu hin xibaarinaa wal hin qabnuutii,10
dhiirri itoophiyaa qarshii fidii jaalala kennuu hin beektu,1
shamarreen funyaan hin qabne fokkkistuudha goraa dhiironni,1
